Key,Description,en,fr
coverSwitchInteractable_jettisonButton_957040,VR Interactable,Switch Cover (Jettison),Couverture Interrupteur (Ejection)
JettisonAllInteractable_957116,VR Interactable,Jettison All,Ejecter Tout
JettisonEmptyInteractable_953786,VR Interactable,Jettison Empty,Ejecter Vide
ClearJettisonInteractable_955908,VR Interactable,Clear Jettison Marks,Effacer Marques d'Ejection
JettTanksInteractable_956154,VR Interactable,Jettison Ext Tanks,Ejecter Reservoirs Ext
Label (1)_956422,UI Text,QUICK START,DEMARRAGE RAPIDE
QuickStartInteractable_954058,VR Interactable,Quickstart Engines,Demarrage Rapide Moteurs
Label (1)_954266,UI Text,QUICK FLY,VOL RAPIDE
QuickFlyButton_956882,VR Interactable,QuickFly,QuickFly
raiseSeatInter_952934,VR Interactable,Raise Seat,Monter Siege
lowerSeatInter_956538,VR Interactable,Lower Seat,Abaisser Siege
RWRText_957050,UI Text,"R
W
R","R
W
R"
Text_956238,UI Text,VRMMFD v1.6,VRMMFD v1.6
Text (1)_955806,UI Text,FUEL,CARBURANT
Text_955420,Internal Fuel,INTERNAL,INTERNE
Text_955022,External Fuel,EXTERNAL,EXTERNE
fuelDrainLabel_955210,UI Text,FUEL DRAIN,VIDANGE CARBURANT
estTimeLabel_952850,UI Text,EST TIME,TEMPS EST
estDistLabel_956560,UI Text,EST DISTANCE,DISTANCE EST
twrLabel_952686,UI Text,MAX TWR,MAX TWR
RWRButton_952182,VR Interactable,RWR,RWR
powButtonMMFDLeft_953178,VR Interactable,Power (MMFD Left),Puissance (MMFD Gauche)
FuelText_952778,UI Text,"F
U
E
L","F
U
E
L"
InfoText_952704,UI Text,"I
N
F
O","I
N
F
O"
powButtonMMFDRight_955652,VR Interactable,Power (MMFD Right),Puissance (MMFD Droit)
fuelButton_955472,VR Interactable,Fuel,Carburant
fuelDrainButton_953542,VR Interactable,Info,Infos
Text_953094,UI Text,"VR MFCD
1.0
","VR MFCD
1.0
"
SaveToDiskText_953598,UI Text,Save to Disk,Sauvegarder sur disque
TgtsTitle_955166,UI Text,GPS TARGETS,CIBLES GPS
GroupsTitle_954186,UI Text,GROUPS,GROUPES
DelTgt_955584,UI Text,"DELETE
TARGET","EFFACER 
CIBLE"
DelGrp_956268,UI Text,"DELETE
GROUP","EFFACER 
GROUPE"
NewGrp_953456,UI Text,"NEW
GROUP","NOUVEAU 
GROUPE"
pathLabel_955452,UI Text,PATH,TRAJECTOIRE
Title_953670,UI Text,"Spectator
Camera","Camera 
Spectateur"
AutoFOVText_952996,UI Text,AutoFOV,AutoFOV
FOVText ButtonLabel_954546,UI Text,SCAN ANGLE,ANGLE DE BALAYAGE
title_953028,UI Text,"LOCK
B
R
A","LOCK
B
R
A"
OffObj_956796,UI Text,RADAR OFF,RADAR OFF
FOVText_955746,UI Text,BORESIGHT,ALIGNEMENT VISEUR
Title_952256,UI Text,ARAD,ARAD
offTxt_952304,UI Text,RWR OFF,RWR OFF
hudModeText_956624,UI Text,DECL,DECL
Text_956014,UI Text,GAME MENU,MENU JEU
Text_957026,UI Text,"Sit comfortably
and press
[menu]
to recenter","Asseyez-vous confortablement 
et appuyez sur 
[menu] 
pour recentrer"
saveText_952280,UI Text,SAVE,SAUVEGARDER
availableLabel_956208,UI Text,"SAVES
AVAILABLE:","SAUVES 
DISPONIBLES"
NoQsText_955496,UI Text,"QUICKSAVE
NOT AVAILABLE","QUICKSAVE 
NON DISPONIBLE"
lastSaveLabel_954396,UI Text,Last Save:,Derniere Sauvegarde :
loadText_957016,UI Text,LOAD,CHARGER
text_956760,UI Text,SAVED,SAUVEGARDE
Quicksave Title_121936,UI Text,Quicksave,Quicksave
titleText_620198,UI Text,FLARES,LEURRES
titleText_618466,UI Text,CHAFF,PAILLETTES
eqNameText_930458,UI Text,COUNTERMEASURE SYSTEM,SYSTEME CONTREMESURE
BingoAdjustTitle_-439040,UI Text,RELEASE RATE,TAUX LIBERATION
txt_929168,UI Text,RELEASE MODE,MODE LIBERATION
NoSignalText_955176,UI Text,NO SIGNAL,PAS DE SIGNAL
Text_952186,UI Text,AREA,ZONE
Text_954224,UI Text,POINT,POINT
Text_954786,UI Text,IFF:FRIEND,IFF:AMI
Text_952462,UI Text,IFF:FOE,IFF:ENNEMI
HeadModeText_956034,UI Text,"USE HELMET VISOR/HMCS

AUGMENTED VIEW ENABLED","UTILISER VISEUR CASQUE

VUE AUGMENTEE ACTIVE"
gimbalLimit_956102,UI Text,GIMBAL LIMIT,LIMITE GIMBALE
hmdViewStatus_953932,UI Text,HMD,HMD
eqNameText_619628,UI Text,VEHICLE OPTIONS,OPTIONS VEHICULE
Text_954730,UI Text,"Sit comfortably
and press menu
(top button)
to recenter","Asseyez-vous confortablement 
et appuyez sur le menu 
(bouton du haut) 
pour recentrer"""
AltModeLabel_953220,UI Text,UNITS,UNITES
unitOptsText_621558,UI Text,ALT WARN,ALT WARN
JoyModeText_952514,UI Text,JOYSTICK MODE,MODE JOYSTICK
JoyModeText_368540,UI Text,JOY SENS,JOY SENS
eqNameText_621662,UI Text,UNIT OPTIONS,UNIT OPTIONS
AltModeLabel_614816,UI Text,Alt Units,Alt Units
DistModeLabel_954954,UI Text,Dist Units,Dist Units
SpeedModeLabel_955738,UI Text,Speed Units,Speed Units
BackText_954528,UI Text,BACK,RETOUR
eqNameText_618502,UI Text,FUEL CONFIG,CONFIGURATION CARBURANT
BingoAdjustTitle_621278,UI Text,BINGO LEVEL,NIVEAU BINGO
eqNameText_620238,UI Text,ALTITUDE WARNINGS,AVERTISSEMENTS ALTITUDE
title_620100,UI Text,MIN ALTITUDE,ALTITUDE MIN
title_619128,UI Text,MAX ALTITUDE,ALTITUDE MAX
modeTitle_620000,UI Text,MODE,MODE
hpequip_armedText,Label when an equip is armed,ARMED,ARMED
hpEquip_jettisonText,Label when an equip is marked for jettison,JETTISON,EJECTION
MFD1PowerInteractable_955984,VR Interactable,MFD Power,Puissance MFD
masterArmSwitchInteractable_952966,VR Interactable,Master Arm Switch,Interrupteur Arm Principal
coverSwitchInteractable_masterArm_955116,VR Interactable,Switch Cover (Master Arm),Couverture Interrupteur (Armement Principal)
RWRModeInteractable_956554,VR Interactable,RWR Mode,Mode RWR
CrsKnobInteractable_955406,VR Interactable,Course Set,Reglage de Cap
APHeadingKnobInteractable_954746,VR Interactable,AP Heading Set,Reglage AP Cap
APSpeedAdjustInteractable_619146,VR Interactable,Auto Speed Set,Reglage Vitesse Auto
title_955396,Analog speed gauge title,SPD,VIT
units_124018,Analog speed gauge units,KNOT,NOD
units_124074,Analog speed gauge units,m/s,m/s
units_125332,Analog speed gauge units,KPH,KPH
units_126248,Analog speed gauge units,MPH,MPH
units_125074,Analog speed gauge units,ft/s,ft/s
title_955084,UI Text,ALT,ALT
APAltKnobInteractable_849860,VR Interactable,Adjust AP Altitude,Ajuster Altitude AP
PULL UP_955136,Label at bottom of VSI scale,PULL UP,PULL UP
OVER_952506,Label at top of VSI scale,OVER,OVER
RadarPowerInteractable_955242,VR Interactable,Radar Power,Puissance Radar
WingSwitchInteractable_954752,VR Interactable,Wing Fold,Pliage Aile
BrakeLockInteractable_954990,VR Interactable,Brake Locks,Verrouillage Frein
CommsVolumeKnob_953158,VR Interactable,Comm Radio Volume,Volume Radio Comm
MicPowerInteractable_953408,VR Interactable,Microphone,Microphone
Text_95182,UI Text,"GAME WINDOW
NOT IN FOCUS","FENETRE JEU 
NON EN FOCUS"
ChaffInteractable_955162,VR Interactable,Toggle Chaff,Activer Paillettes
FlareInteractable_954664,VR Interactable,Toggle Flares,Activer Leurres
AssistMasterInteractable_954136,VR Interactable,Toggle Flight Assist,Activer Assist. Vol
PitchSASInteractable_956582,VR Interactable,Toggle Pitch Assist,Activer Assist. Tangage
YawSASInteractable_952486,VR Interactable,Toggle Yaw Assist,Activer Assist. Lacet
RollSASInteractable_954040,VR Interactable,Toggle Roll Assist,Activer Assist. Roulis
AutoTrimLabel_953970,UI Text,AUTOTRIM,AUTOTRIM
On_955172,UI Text,PITCH,PITCH
PitchAutoTrimInteractable_952572,VR Interactable,Toggle Pitch Trim,Activer Trim Tangage
MissileModeText_953606,UI Text,OFF,OFF
GLimitInteractable_953432,VR Interactable,Toggle G-Limiter,Activer Limiteur G
CATOTrimInteractable_954262,VR Interactable,Catapult T/O Trim,Trim de Catapulte T/O
FuelPort_956728,VR Interactable,Fuel Port,Port de Carburant
RadioVolumeKnob_954660,VR Interactable,Radio Volume,Volume Radio
PrevButton_954098,VR Interactable,Prev Song,Chanson Prec
NextButton_953960,VR Interactable,Next Song,Chanson Suiv
radioPlayPauseInteractable_953644,VR Interactable,Play/Pause,Lecture/Pause
fuelDumpSwitchInteractable_535554,VR Interactable,Fuel Dump Switch,Interrupteur Vidange Carburant
coverSwitchInteractable_fuelDump_535644,VR Interactable,Switch Cover (Fuel Dump),Couverture Interrupteur (Vidange Carburant)
title_952152,UI Text,THROTTLE ADJUST,AJUSTEMENT GAZ
Fwd_957006,UI Text,LENGTH,LONGUEUR
Height_955094,UI Text,HEIGHT,HAUTEUR
InteriorLightInteractable_953350,VR Interactable,Interior Lights,Lumieres Interieures
InsturmentLightInteractable_953694,VR Interactable,Instrument Lights,Lumieres Instruments
LabelBrightnessKnob_953022,VR Interactable,Instrument Brightness,Luminosite Instruments
LandingLightInteractable_953626,VR Interactable,Landing Lights,Lumieres d'Atterrissage
StrobLightInteractable_956410,VR Interactable,Strobe Lights,Lumieres Stroboscopiques
NavLightInteractable_957046,VR Interactable,Nav Lights,Lumieres de Navigation
releaseLabel_952578,UI Text,RELEASE,LIBERATION
Label_955048,UI Text,SPEED,VITESSE
Label_956274,UI Text,HULL,FUSELAGE
Label_953580,UI Text,VERT,VERT
ASLText_954512,UI Text,ASL,ASL
RDRAltText_952740,UI Text,RDR,RDR
Text_955274,UI Text,[ COLLISION      WARNING ],[ COLLISION      WARNING ]
Text_956286,UI Text,[ STALL          WARNING ],[ DECROCAGE          WARNING ]
Label_954766,UI Text,HDG,HDG
HudBrakeLock_955152,UI Text,[ BRAKE LOCK ],[ FREIN VERROUILLE ]
Label_206876,HUD Unit label (g-force),G,G
Label_205078,HUD Unit label (mach),M,M
Text_955612,UI Text,-[ CHECK GEAR ]-,-[ VERIFIER TRAIN ]-
Label_953774,UI Text,"HVR
ALT","HVR
ALT"
Label_953448,UI Text,BRAKE,FREIN
Label_953434,UI Text,"RDR
BORESIGHT","RADAR 
CENTRE"
HudWingFold_956664,UI Text,[ WING FOLD ],[ PLIAGE AILE ]
Text_620852,UI Text,PULL UP!,PULL UP !
CamcorderObj_101710,VR Interactable,Move Camera,Deplacer Camera
