Key,Description,en,fr
Text_509830,UI Text,Steam Workshop,Steam Workshop
VEHICLES_747786,UI Text,VEHICLES,VEHICULES
Text_743784,UI Text,SELECT VEHICLE,SELECTIONNER VEHICULE
NextVehButton_747140,VR Interactable,Next Vehicle,Vehicule Suivant
PrevVehButton_746350,VR Interactable,Previous Vehicle,Vehicule Precedent
NO VEHICLES_740194,UI Text,NO VEHICLES,AUCUN VEHICULE
Title_731538,UI Text,TUTORIALS,TUTORIELS
NextButton_-4973280,VR Interactable,Next Tutorial,Tutoriel Suivant
PrevButton_-4973282,VR Interactable,Previous Tutorial,Tutoriel Precedent
SelectButton_-645320,VR Interactable,Select Tutorial,Selectionner Tutoriel
Text_-645448,UI Text,Select,Selectionner
Text_-645234,UI Text,Radar,Radar
Text_-645284,UI Text,F/A-26B,F/A-26B
ScrollInteractable_-645206,VR Interactable,Scroll,Defiler
Name_747128,UI Text,VTOL VR - Steam Workshop Browser,VTOL VR - Navigateur Steam Workshop
ScenariosButton_746792,VR Interactable,Scenarios,Scenarios
CampaignsButton_745636,VR Interactable,Campaigns,Campagnes
Text_746638,UI Text,Maps,Cartes
Name (1)_747156,UI Text,STEAM WORKSHOP,STEAM WORKSHOP
Placeholder_742056,UI Text,search...,rechercher...
ButtonSearch_745798,VR Interactable,Search,Rechercher
SortOrderDropdown_742490,VR Interactable,Sort Dropdown,Trier Liste
Text_743832,UI Text,Entry Button,Bouton d'Entree
AnyVehicleButton_741020,VR Interactable,Any Vehicle,Tout Vehicule
AV42Button_746716,VR Interactable,AV-42C,AV-42C
Text_744672,UI Text,AV-42C,AV-42C
missionTypeText (1)_742360,UI Text,Select vehicle,Selectionner vehicule
F-45AButton_744238,VR Interactable,F-45A,F-45A
VotesTab_743458,VR Interactable,Votes,Votes
FavesTab_744050,VR Interactable,Favorited,Favoris
VotesTxt_747534,UI Text,Faves,Favoris
SubsTab_746936,VR Interactable,Subscriptions,Abonnements
VotesTxt_740374,UI Text,Subs,Abonnements
NewTab_744656,VR Interactable,New,Nouveau
VotesTxt_740444,UI Text,Newest,Plus Recent
ButtonPrevious_746534,VR Interactable,Previous Page,Page Precedente
ButtonNext_743488,VR Interactable,Next Page,Page Suivante
Title (1)_741416,UI Text,"Loading 
steam workshop
missions","Chargement
steam workshop
missions"
Name_742760,UI Text,Error,Erreur
ErrorOkayButton_976098,VR Interactable,Okay,Okay
Title_-645276,UI Text,"Select Campaign
","Selectionner Campagne
"
NextButton_-645330,VR Interactable,Next Campaign,Campagne Suivante
PrevButton_-645328,VR Interactable,Previous Campaign,Campagne Precedente
SelectButton_516578,VR Interactable,Select Campaign,Selectionner Campagne
BackButton_-645324,VR Interactable,Back to Vehicles,Retour aux Vehicules
Text_732522,UI Text,"The Island
","L'Ile
"
Text_732678,UI Text,Custom Campaigns,Campagnes Personnalisees
ResetButton_-645338,VR Interactable,Reset Campaign,Reinitialiser Campagne
Text_-645444,UI Text,"Reset
Progress","Reinitialiser 
Progres"
description_-645446,UI Text,Are you sure you want to reset progress on this campaign?,Etes-vous sur de vouloir reinitialiser le progres de cette campagne ?
Text_-645584,UI Text,Reset,Reinitialiser
Text_-645592,UI Text,Cancel,Annuler
Title (1)_740090,UI Text,"Loading 
Campaigns & missions...","Chargement
Campagnes & missions..."
Text_-645730,UI Text,No missions found,Pas de missions trouvees
Title_-645562,UI Text,Select mission,Selectionner mission
CompletedObject_-645176,UI Text,Completed,Termine
GrantedBudget_-645910,UI Text,Granted Budget: $500,Budget Accorde : $500
RTrainingTitle_-645174,UI Text,Recommended Training: ,Formation Recommandee :
Text_-645912,UI Text,FULL VERSION ONLY,VERSION COMPLETE SEULEMENT
Text_-645908,UI Text,UNDER CONSTRUCTION,EN CONSTRUCTION
Text_-645892,UI Text,CUSTOM MAP MISSING,CARTE PERSONNALISEE MANQUANTE
NextButton_-645564,VR Interactable,Next Mission,Mission Suivante
PrevButton_-645598,VR Interactable,Previous Mission,Mission Precedente
SelectButton_-645578,VR Interactable,Select Mission,Selectionner Mission
MissionsButton_-645568,VR Interactable,Missions,Missions
Text_732526,UI Text,MISSIONS,MISSIONS
TrainingButton_-645594,VR Interactable,Training,Formation
Text_-645732,UI Text,TRAINING,FORMATION
BackButton_-645608,VR Interactable,Back to Campaigns,Retour aux Campagnes
triggerToSkip_-645838,UI Text,hold trigger to skip,maintenir la detente pour passer
titleText_-645888,UI Text,New Training Mission: ,Nouvelle Mission de Formation :
MISSION BRIEFING_744042,UI Text,MISSION BRIEFING,BRIEFING DE MISSION
NextNoteButton_743764,VR Interactable,Next Note,Note Suivante
Text_742706,UI Text,Next,Suivant
PrevNoteButton_745262,VR Interactable,Previous Note,Note Precedente
Text_744920,UI Text,Previous,Precedent
FlyButton_740588,VR Interactable,Fly Mission,Vole Mission
Text_743562,UI Text,Configure,Configurer
Text_746416,UI Text,Customize Pilot,Personnaliser Pilote
Label_740562,UI Text,suit,combinaison
HueUpButton_742114,VR Interactable,Hue Right,Teinte Droite
HueDownButton_744534,VR Interactable,Hue Left,Teinte Gauche
Label (1)_740254,UI Text,Hue,Teinte
SatUpButton_745496,VR Interactable,Saturation Up,Saturation Augmenter
SatDownButton_741692,VR Interactable,Saturation Down,Saturation Diminuer
Label (2)_741270,UI Text,Saturation,Saturation
ValUpButton_747676,VR Interactable,Value Up,Valeur Augmenter
ValDownButton_747772,VR Interactable,Value Down,Valeur Diminuer
Label (3)_740798,UI Text,Brightness,Luminosite
Label_741936,UI Text,vest,gilet
Label_740984,UI Text,G-Suit,G-Suit
Label_746928,UI Text,Straps,Sangles
Label_743676,UI Text,skin,peau
AcceptButton_745474,VR Interactable,Accept Changes,Accepter Modifications
Text_740032,UI Text,Accept,Accepter
Button_740788,VR Interactable,Interactable,Interactif
DecrButton_746112,VR Interactable,Decrease,Diminuer
IncrButton_743848,VR Interactable,Increase,Augmenter
PrevSettingsPageButton_745814,VR Interactable,Prev Page,Page Precedente
ApplySettingsButton_740876,VR Interactable,Apply Settings,Appliquer Parametres
RevertSettingsButton_745510,VR Interactable,Revert Settings,Reinitialiser Parametres
Text_744170,UI Text,Revert,Reinitialiser
Text_743510,UI Text,Close,Fermer
BindingsButton_740066,VR Interactable,Open Bindings Menu,Ouvrir Menu Raccourcis
Text_746038,UI Text,Bindings,Raccourcis
OpenWingmenButton_742898,VR Interactable,Wingman Voices,Voix d'Aviateur
GameCat_692110,VR Interactable,Game,Jeu
ControlsCat_696240,VR Interactable,Controls,Controles
AudioCat_692816,VR Interactable,Audio,Audio
VideoCat_695570,VR Interactable,Video,Video
MiscCat_691360,VR Interactable,Miscellaneous,Divers
Text_691290,UI Text,Misc,Divers
Image_746964,VR Interactable,Toggle Voice,Activer Voix
SampleButton_741706,VR Interactable,Play Sample,Lire Echantillon
SettingsTitle_746874,UI Text,Input binding,Liaison d'entree
ActionLabel_743972,UI Text,Action,Action
ControllerLabel_740058,UI Text,Controller,Controleur
AxisLabel_740550,UI Text,Axis,Axe
SelectCtrlr_744404,UI Text,Select a controller,Selectionner un controleur
BindingsButton_745912,VR Interactable,Bind,Lier
Text_742080,UI Text,Bind,Lier
NextCtrlrButton_745738,VR Interactable,Next Controller,Controleur Suivant
PrevCtrlrButton_747542,VR Interactable,Previous Controller,Controleur Precedent
TestLabel_744460,UI Text,Axis Test,Test Axe
ClearButton_744128,VR Interactable,Clear Binding,Effacer Liaison
Text_742294,UI Text,Clear,Effacer
InvertButton_731022,VR Interactable,Invert Axis,Inverser Axe
Text_724774,UI Text,Invert,Inverser
Text_746160,UI Text,Apply,Appliquer
Title_744764,UI Text,Launch Editor?,Lancer Editeur ?
Title (1)_740936,UI Text,The mission editor will run on your monitor.,L'editeur de mission s'executera sur votre moniteur.
OkayButton_742216,VR Interactable,Launch Editor,Lancer Editeur
BackButton_507224,VR Interactable,Back to Main Menu,Retour au Menu Principal
Title (1)_740580,UI Text,The map editor will run on your monitor.,L'editeur de carte s'executera sur votre moniteur.
