Key,Description,en,fr
GBU-38 Bomb x4_description,Item description of: GBU-38 Bomb x4,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,Munition d'attaque directe guidee par GPS de 500 lb. C'est une bombe Mk.82 avec un kit de guidage.
eqSublabel_GPS-BOMB-INTERNAL,HUD sub-label of an equip,GPS BOMB INTERNAL,BOMBE GPS INTERNE
gpsBomb_targetMode,"An option for GPS bombs' targeting mode (auto, manual, dumb)",TARGET MODE,MODE CIBLE
gpsBomb_autoRelRate,An option for GPS bomb's automatic release rate (shortened to fit UI space).,AUTO REL RATE,AUTO REL TAUX
s_gbu_mode_0,Targeting mode label for GPS bomb,MANUAL,MANUEL
s_gbu_mode_1,Targeting mode label for GPS bomb,AUTO,AUTO
s_gbu_mode_2,Targeting mode label for GPS bomb,DUMB,LARGAGE
ASF-SRM x1_fullName,Full equip name of: ASF-SRM x1,ASF-SRM x1,ASF-SRM x1
ASF-SRM x1_description,Item description of: ASF-SRM x1,A standard heat-seeking anti-air missile.,Un missile air-air standard a guidage thermique.
eqSublabel_IR,HUD sub-label of an equip,IR,IR
GBU-38 Bomb x3_fullName,Full equip name of: GBU-38 Bomb x3,GBU-38 Bomb x3,GBU-38 Bombe x3
GBU-38 Bomb x3_description,Item description of: GBU-38 Bomb x3,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,Munition d'attaque directe guidee par GPS de 500 lb. C'est une bombe Mk.82 avec un kit de guidage.
eqSublabel_GPS-BOMB,HUD sub-label of an equip,GPS BOMB,BOMBE GPS
AGM-161 Anti Surface Stand-off Missile_fullName,Full equip name of: AGM-161 Anti Surface Stand-off Missile,AGM-161 Anti Surface Stand-off Missile,AGM-161 Missile de croisiere anti-surface a distance de securite
AGM-161 Anti Surface Stand-off Missile_description,Item description of: AGM-161 Anti Surface Stand-off Missile,A cruise missile designed to deliver a large payload to a ground target over a long distance. It follows a pre-programmed GPS course with automatic terrain avoidance.,Un missile de croisiere concu pour livrer une grande charge utile a une cible au sol sur une longue distance. Il suit un cours GPS preprogramme avec evitement automatique du terrain.
eqSublabel_GPS-CRUISE,HUD sub-label of an equip,GPS CRUISE,GPS CROISIERE
AGM-188 MARM_fullName,Full equip name of: AGM-188 MARM,AGM-188 MARM,AGM-188 MARM
AGM-188 MARM_description,Item description of: AGM-188 MARM,Medium range anti-radiation missile with a unique top down attack angle.,Missile anti-radar a moyenne portee avec un angle d'attaque unique de haut en bas.
eqSublabel_ARM,HUD sub-label of an equip,ARM,ARM
ASMRM-7 x1_fullName,Full equip name of: ASMRM-7 x1,ASMRM-7 x1,ASMRM-7 x1
ASMRM-7 x1_description,Item description of: ASMRM-7 x1,Medium range radar guided air to air missile.,Missile air-air a guidage radar de moyenne portee.
AIRS-T Advanced SRM x3_fullName,Full equip name of: AIRS-T Advanced SRM x3,AIRS-T Advanced SRM x3,AIRS-T SRM Avance x3
AIRS-T Advanced SRM x3_description,Item description of: AIRS-T Advanced SRM x3,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.","Missile air-air a courte portee a guidage thermique avec vectorisation de poussee.
Amelioration de la maniabilite, de la portee, et du systeme de contre-contre-mesures."
AIRS-T Advanced SRM x2_fullName,Full equip name of: AIRS-T Advanced SRM x2,AIRS-T Advanced SRM x2,AIRS-T SRM Avance x2
AIRS-T Advanced SRM x2_description,Item description of: AIRS-T Advanced SRM x2,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.","Missile air-air a courte portee a guidage thermique avec vectorisation de poussee.
Amelioration de la maniabilite, de la portee, et du systeme de contre-contre-mesures."
Hydra-70 4x4 Rocket Pod_fullName,Full equip name of: Hydra-70 4x4 Rocket Pod,Hydra-70 4x4 Rocket Pod,Hydra-70 4x4 Pod de roquettes
Hydra-70 4x4 Rocket Pod_description,Item description of: Hydra-70 4x4 Rocket Pod,"A cluster of pods carrying a total of 16 high explosive rockets. Can be fired in single shot mode, or rapid fire (ripple).",Un ensemble de pods transportant un total de 16 roquettes explosives. Peut etre tire en mode coup par coup ou en tir rapide (salve).
GBU-12 Laser Guided Bomb_fullName,Full equip name of: GBU-12 Laser Guided Bomb,GBU-12 Laser Guided Bomb,GBU-12 Bombe guidee par laser
GBU-12 Laser Guided Bomb_description,Item description of: GBU-12 Laser Guided Bomb,A 500lb laser guided bomb.,Une bombe de 500 lb guidee par laser.
GAU-8 Avenger_fullName,Full equip name of: GAU-8 Avenger,GAU-8 Avenger,GAU-8 Avenger
GAU-8 Avenger_description,Item description of: GAU-8 Avenger,"A 30mm, 7-barrel rotary cannon. Fires depleted uranium rounds at a high rate of fire.",Un canon rotatif a 7 tubes de 30 mm. Tire des obus a uranium appauvri a un rythme eleve.
AGM-65_fullName,Full equip name of: AGM-65,AGM-65,AGM-65
AGM-65_description,Item description of: AGM-65,"A medium range optically guided ""fire-and-forget"" anti-tank missile.","Missile anti-char a moyenne portee a guidage optique ""tirer et oublier""."
eqSublabel_OPTICAL-FF,HUD sub-label of an equip,OPTICAL FF,OPTIQUE FF
AUTO,,AUTO,AUTO
MANUAL,,MANUAL,MANUEL
oml_uncageMode,Option title for optical missiles' seeker uncage mode (unlocking from the forward aiming position).,UNCAGE MODE,MODE DEVERROUILLAGE
oml_noTgp,Optical AGM is selected but there is no TGP attached,NO TGP,PAS DE TGP
PAC-3_fullName,Full equip name of: PAC-3,PAC-3,PAC-3
PAC-3_description,Item description of: PAC-3,Radar-guided surface-to-air defense missile.,Missile de defense sol-air guide par radar.
4000L Fuel Drop Tank_fullName,Full equip name of: 4000L Fuel Drop Tank,4000L Fuel Drop Tank,Reservoir largable de 4000L
4000L Fuel Drop Tank_description,Item description of: 4000L Fuel Drop Tank,A 4000 liter detachable external fuel tank.,Un reservoir de carburant externe detachable de 4000 litres.
ASF-SRM x2_fullName,Full equip name of: ASF-SRM x2,ASF-SRM x2,ASF-SRM x2
ASF-SRM x2_description,Item description of: ASF-SRM x2,A rack of two standard heat-seeking anti-air missiles.,Un support de deux missiles air-air standard a guidage thermique.
AIM-9 Sidewinder x3_fullName,Full equip name of: AIM-9 Sidewinder x3,AIM-9 Sidewinder x3,AIM-9 Sidewinder x3
AIM-9 Sidewinder x3_description,Item description of: AIM-9 Sidewinder x3,A rack of three standard heat-seeking Sidewinder anti-air missiles.,Un support de trois missiles air-air standard a guidage thermique Sidewinder.
eqSublabel_IR-AAM,HUD sub-label of an equip,IR AAM,IR AAM
GBU-39 SD Bomb x4_fullName,Full equip name of: GBU-39 SD Bomb x4,GBU-39 SD Bomb x4,GBU-39 SD Bombe x4
GBU-39 SD Bomb x4_description,Item description of: GBU-39 SD Bomb x4,GPS guided small diameter bomb. It has built-in folding wings that allow it to glide for long distances and hit targets with precision.,Bombe de petit diametre guidee par GPS. Elle possede des ailes repliables integrees qui lui permettent de planer sur de longues distances et de frapper les cibles avec precision.
Mk-82 Bomb x3_fullName,Full equip name of: Mk-82 Bomb x3,Mk-82 Bomb x3,Mk-82 Bombe x3
Mk-82 Bomb x3_description,Item description of: Mk-82 Bomb x3,Standard un-guided 500lb bombs.,Bombes standard non guidees de 500 lb.
WR-25 Rocket Pod_fullName,Full equip name of: WR-25 Rocket Pod,WR-25 Rocket Pod,WR-25 Pod de roquettes
WR-25 Rocket Pod_description,Item description of: WR-25 Rocket Pod,A hexagonal pod carrying 25 unguided rockets.,Un pod hexagonal contenant 25 roquettes non guidees.
Mk.82 Bomb x4_fullName,Full equip name of: Mk.82 Bomb x4,Mk.82 Bomb x4,Mk.82 Bombe x4
Mk.82 Bomb x4_description,Item description of: Mk.82 Bomb x4,Four standard un-guided 500lb bombs.,Quatre bombes standard non guidees de 500 lb.
eqSublabel_BOMB-INTERNAL,HUD sub-label of an equip,BOMB INTERNAL,BOMBE INTERNE
s_cs_granted,Text in campaign selector,Granted,Accorde
s_cs_budget,Text in campaign selector,Budget,Budget
s_cs_newMission,Text in campaign selector,New Mission:,Nouvelle mission :
s_cs_newTraining,Text in campaign selector,New Training:,Nouvelle formation :
s_cs_newEquip,Text in campaign selector,New Equipment:,Nouvel equipement :
s_cs_incompatibleVersion,Text in campaign selector,Incompatible game version,Version du jeu incompatible
campaign_customScenarios,,Custom Scenarios,Scenarios personnalises
campaign_customScenarios_description,,Play custom scenarios created in the VTEditor.,Jouer des scenarios personnalises crees dans VTEditor.
campaign_ws,,Steam Workshop Scenarios,Scenarios Steam Workshop
campaign_ws_description,,Play custom scenarios installed through Steam Workshop.,Jouer des scenarios personnalises installes via Steam Workshop.
s_cInfo_completed,x% [Completed]' text in campaign selector,Completed,Termine
AGM-126 SideARM II x2_fullName,Full equip name of: AGM-126 SideARM II x2,AGM-126 SideARM II x2,AGM-126 SideARM II x2
AGM-126 SideARM II x2_description,Item description of: AGM-126 SideARM II x2,Compact short range anti-radiation missile based on the AIM-9x.,Missile anti-radar compact a courte portee base sur l'AIM-9x.
500L Fuel Drop Tank_fullName,Full equip name of: 500L Fuel Drop Tank,500L Fuel Drop Tank,Reservoir largable de 500L
500L Fuel Drop Tank_description,Item description of: 500L Fuel Drop Tank,A 500 liter fuel tank.,Un reservoir de carburant de 500 litres.
Mk-82AIR High Drag Bomb x2_fullName,Full equip name of: Mk-82AIR High Drag Bomb x2,Mk-82AIR High Drag Bomb x2,Mk-82AIR Bombe a haute trainee x2
Mk-82AIR High Drag Bomb x2_description,Item description of: Mk-82AIR High Drag Bomb x2,Standard un-guided 500lb bombs. Deploys an inflatable drag chute to slow descent for low altitude bombing.,Bombes standard non guidees de 500 lb. Deploie un parachute de freinage gonflable pour ralentir la descente lors des bombardements a basse altitude.
GAU-22 Redeemer 25mm_fullName,Full equip name of: GAU-22 Redeemer 25mm,GAU-22 Redeemer 25mm,GAU-22 Redeemer 25 mm
GAU-22 Redeemer 25mm_description,Item description of: GAU-22 Redeemer 25mm,"A 4-barrel 25mm rotary cannon.
Rate of fire: 3300 RPM","Un canon rotatif a 4 tubes de 25 mm.
Cadence de tir : 3300 CPM"
GMA-14 x3_fullName,Full equip name of: GMA-14 x3,GMA-14 x3,GMA-14 x3
GMA-14 x3_description,Item description of: GMA-14 x3,A rack of 3 laser guided anti-tank missiles.,Un rack de 3 missiles antichars guides par laser.
eqSublabel_LG,HUD sub-label of an equip,LG,LG
AGM-88 ARM_fullName,Full equip name of: AGM-88 ARM,AGM-88 ARM,AGM-88 ARM
AGM-88 ARM_description,Item description of: AGM-88 ARM,Medium range anti-radiation missile.,Missile anti-radar a moyenne portee.
AIRS-T Advanced SRM_fullName,Full equip name of: AIRS-T Advanced SRM,AIRS-T Advanced SRM,AIRS-T SRM Avance
AIRS-T Advanced SRM_description,Item description of: AIRS-T Advanced SRM,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.","Missile air-air a courte portee a guidage thermique avec vectorisation de poussee.
Amelioration de la maniabilite, de la portee, et du systeme de contre-contre-mesures."
GBU-39 SD Bomb x3_fullName,Full equip name of: GBU-39 SD Bomb x3,GBU-39 SD Bomb x3,GBU-39 SD Bombe x3
GBU-39 SD Bomb x3_description,Item description of: GBU-39 SD Bomb x3,GPS guided small diameter bomb. It has built-in folding wings that allow it to glide for long distances and hit targets with precision.,Bombe de petit diametre guidee par GPS. Elle possede des ailes repliables integrees qui lui permettent de planer sur de longues distances et de frapper les cibles avec precision.
AN/AAQ-28 Targeting Pod_fullName,Full equip name of: AN/AAQ-28 Targeting Pod,AN/AAQ-28 Targeting Pod,AN/AAQ-28 Pod de ciblage
AN/AAQ-28 Targeting Pod_description,Item description of: AN/AAQ-28 Targeting Pod,Sensor pod for acquiring and tracking targets using optics and lasers. A necessary component for certain guided missiles.,Pod de capteurs pour l'acquisition et le suivi des cibles en utilisant des optiques et des lasers. Un composant necessaire pour certains missiles guides.
2200L Fuel Drop Tank_fullName,Full equip name of: 2200L Fuel Drop Tank,2200L Fuel Drop Tank,Reservoir largable de 2200L
2200L Fuel Drop Tank_description,Item description of: 2200L Fuel Drop Tank,A 2200 liter fuel tank.,Un reservoir de carburant de 2200 litres.
AGM-89 Anti-ship Cruise Missile x2_fullName,Full equip name of: AGM-89 Anti-ship Cruise Missile x2,AGM-89 Anti-ship Cruise Missile x2,AGM-89 Missile de croisiere anti-navire x2
AGM-89 Anti-ship Cruise Missile x2_description,Item description of: AGM-89 Anti-ship Cruise Missile x2,"Air-launched anti-ship cruise missile. Equipped with waypoint following, radar target acquisition, and terminal maneuvering technology.","Missile de croisiere anti-navire lance depuis les airs. Equipe de technologie de suivi de points de passage, d'acquisition de cibles radar, et de manœuvres terminales."
eqSublabel_ANTI-SHIP-CRUISE,HUD sub-label of an equip,ANTI-SHIP CRUISE,CROISIERE ANTI-NAVIRE
asml_terminalMode,An option for anti-ship cruise missiles' flight behavior in the last (terminal) phase of guidance.,TERMINAL MODE,MODE TERMINAL
asml_noTarget,HUD label shown when the selected anti-ship missile has no target.,NO TARGET,PAS DE CIBLE
asml_overRange,HUD label shown when the selected anti-ship missile has a target that is too far away.,OVER RANGE,HORS PORTEE
asml_inRange,HUD label shown when the selected anti-ship missile has a target that is within firing range.,IN RANGE,EN PORTEE
asml_path,HUD label shown when the selected anti-ship missile will follow a flight path.,PATH,TRAJET
asml_point,HUD label shown when the selected anti-ship missile will fly to a specific target point.,POINT,POINT
s_asmTmode_0,Antiship terminal guidance mode,Direct,Direct
s_asmTmode_1,Antiship terminal guidance mode,SeaSkim,Rase-mottes
s_asmTmode_2,Antiship terminal guidance mode,SSEvasive,Manœuvre d'evitement
s_asmTmode_3,Antiship terminal guidance mode,Popup,Saut
AIM-9 Sidewinder_fullName,Full equip name of: AIM-9 Sidewinder,AIM-9 Sidewinder,AIM-9 Sidewinder
AIM-9 Sidewinder_description,Item description of: AIM-9 Sidewinder,A standard short range heat seeking air to air missile.,Un missile air-air standard a courte portee a guidage thermique.
vehicleConfig_denyBusy,Denial message for vehicle configurator,BUSY: RELOADING,OCCUPE : RECHARGEMENT
vehicleConfig_invalidReload,Denial message for vehicle configurator,Full reload will be over budget!,Le rechargement complet depassera le budget !
vehicleConfig_countermeasures,,Countermeasures,Contre-mesures
vehicleConfig_flareLabel,,IR Flares,Leurres IR
vehicleConfig_flareKnob,,Set flares,Regler les leurres
vehicleConfig_chaffLabel,,ECM Chaff,Leurres ECM
vehicleConfig_chaffKnob,,Set chaff,Regler les leurres
vehicleConfig_repairButton,,Repair,Reparation
vehicleConfig_repairButtonText,,Repair,Reparer
vehicleConfig_repairCostLabel,,Repair cost:,Cout de reparation :
vehicleConfig_totalMass,,Total mass:,Masse totale :
vehicleConfig_fuelKnob,,Set fuel,Regler le carburant
vehicleConfig_flightCost,,Flight cost:,Cout de vol :
vehicleConfig_budget,,Budget:,Budget :
vehicleConfig_equipMass,,Mass:,Masse :
vehicleConfig_hardpoint,,Hardpoint,Points d'attache
vehicleConfig_none,,None,Aucun
vehicleConfig_saveLoad,,Save/load,Sauvegarder / Charger
equipConfig_noEquips,A label shown in the vehicle configurator when there are no available equipment.,No equipment.,Aucun equipement.
equipConfig_noEquipsDescription,A more descriptive label shown when there is no equipment available.,Equipment for this hardpoint is not yet available.,L'equipement pour ce point d'attache n'est pas encore disponible.
vehicleConfig_equipCost,,Cost:,Cout :
vehicleConfig_count,,Count:,Quantite :
vehicleConfig_fuel,,FUEL,FUEL
vehicleConfig_equipButton,,Equip,Equiper
vehicleConfig_detachButton,,Detach,Detacher
vehicleConfig_previous,,Next,Suivant
vehicleConfig_next,,Next,Suivant
vehicleConfig_backButton,,Back,Retour
vehicleConfig_availableEquipment,,"Available
equipment","Equipement 
disponible"
vehicleConfig_scroll,,Scroll,Faire defiler
vehicleConfig_returnToAircraft,,Return to aircraft,Retourner a l'avion
vehicleConfig_reloadAll,,Reload all,Recharger tout
vehicleConfig_endMission,,End mission,Terminer la mission
vehicleConfig_symmetry,,Symmetry,Symetrie
vehicleConfig_symmetryButton,,Toggle symmetry,Changer la symetrie
vehicleConfig_load,,Load,Charger
vehicleConfig_save,,Save,Sauvegarder
vehicleConfig_saveNew,,Save new...,Sauvegarder sous...
vehicleConfig_overwrite,,Overwrite...,Ecraser...
vehicleConfig_delete,,Delete,Supprimer
CG25 Twin Chaingun_fullName,Full equip name of: CG25 Twin Chaingun,CG25 Twin Chaingun,CG25 Twin Chaingun
CG25 Twin Chaingun_description,Item description of: CG25 Twin Chaingun,A fixed 25mm dual-barrel chaingun.,Une mitrailleuse a deux canons de 25 mm fixe.
MK-83 x12_fullName,Full equip name of: MK-83 x12,MK-83 x12,MK-83 x12
MK-83 x12_description,Item description of: MK-83 x12,A rack of 12 MK-83 1000lb bombs.,Un support de 12 bombes MK-83 de 1000 lb.
Mk.82 Bomb x2_fullName,Full equip name of: Mk.82 Bomb x2,Mk.82 Bomb x2,Mk.82 Bomb x2
Mk.82 Bomb x2_description,Item description of: Mk.82 Bomb x2,Two standard un-guided 500lb bombs.,Deux bombes standard non guidees de 500 lb.
ASF-SRM x3_fullName,Full equip name of: ASF-SRM x3,ASF-SRM x3,ASF-SRM x3
ASF-SRM x3_description,Item description of: ASF-SRM x3,A rack of three standard heat-seeking anti-air missiles.,Un support de trois missiles anti-aeriens a tete chercheuse standard.
ASMRM-7 x6 Internal_fullName,Full equip name of: ASMRM-7 x6 Internal,ASMRM-7 x6 Internal,ASMRM-7 x6 Interne
ASMRM-7 x6 Internal_description,Item description of: ASMRM-7 x6 Internal,Medium range radar guided air to air missile. Missiles are stowed internally to improve stealth and aerodynamics.,Missile air-air guide par radar a moyenne portee. Les missiles sont stockes en interne pour ameliorer la furtivite et l'aerodynamique.
Conformal Fuel Tank_fullName,Full equip name of: Conformal Fuel Tank,Conformal Fuel Tank,Reservoir de carburant conformal
Conformal Fuel Tank_description,Item description of: Conformal Fuel Tank,A modification that allows the aircraft to hold an extra 6400L of fuel.,Une modification permettant a l'avion de transporter 6400 L de carburant supplementaires.
AGM-114 x4_fullName,Full equip name of: AGM-114 x4,AGM-114 x4,AGM-114 x4
AGM-114 x4_description,Item description of: AGM-114 x4,"A rack of 4 laser guided anti-tank missiles.
Requires continuous lock for guidance (not fire-and-forget).","Un support de 4 missiles anti-char guides par laser. 
Necessite un verrouillage continu pour la guidance (pas de type ""tir et oublie"")."
AGM-89 Anti-ship Cruise Missile_fullName,Full equip name of: AGM-89 Anti-ship Cruise Missile,AGM-89 Anti-ship Cruise Missile,AGM-89 Missile de croisiere anti-navire
AGM-89 Anti-ship Cruise Missile_description,Item description of: AGM-89 Anti-ship Cruise Missile,"Air-launched anti-ship cruise missile. Equipped with waypoint following, radar target acquisition, and terminal maneuvering technology.","Missile de croisiere anti-navire lance depuis l'air. Equipe de technologie de suivi de waypoints, d'acquisition de cibles radar et de manœuvres terminales."
MK-82 x32_fullName,Full equip name of: MK-82 x32,MK-82 x32,MK-82 x32
MK-82 x32_description,Item description of: MK-82 x32,A rack of 32 MK-82 bombs.,Un rack de 32 bombes MK-82.
BSM-66LR_fullName,Full equip name of: BSM-66LR,BSM-66LR,BSM-66LR
BSM-66LR_description,Item description of: BSM-66LR,Standard radar-guided missile. Equipped with first stage booster for extended range.,Missile guide par radar standard. Equipe d'un propulseur de premiere etape pour une portee etendue.
Mk.82 Bomb x1_fullName,Full equip name of: Mk.82 Bomb x1,Mk.82 Bomb x1,Mk.82 Bomb x1
Mk.82 Bomb x1_description,Item description of: Mk.82 Bomb x1,Standard un-guided 500lb bomb.,Bombe standard non guidee de 500 lb.
AGM-126 SideARM II x3_fullName,Full equip name of: AGM-126 SideARM II x3,AGM-126 SideARM II x3,AGM-126 SideARM II x3
AGM-126 SideARM II x3_description,Item description of: AGM-126 SideARM II x3,Compact short range anti-radiation missile based on the AIM-9x.,Missile anti-radiation court a portee compacte base sur l'AIM-9x.
4600L Drop Tank_fullName,Full equip name of: 4600L Drop Tank,4600L Drop Tank,Reservoir de carburant de 4600 L
4600L Drop Tank_description,Item description of: 4600L Drop Tank,A 4600L external fuel drop tank.,Reservoir de carburant externe de 4600 L.
AIM-9+ Sidewinder_fullName,Full equip name of: AIM-9+ Sidewinder,AIM-9+ Sidewinder,AIM-9+ Sidewinder
AIM-9+ Sidewinder_description,Item description of: AIM-9+ Sidewinder,Advanced short range heat seeking air to air missile.,Missile air-air a tete chercheuse a courte portee avance.
AIM-9 Sidewinder x2_fullName,Full equip name of: AIM-9 Sidewinder x2,AIM-9 Sidewinder x2,AIM-9 Sidewinder x2
AIM-9 Sidewinder x2_description,Item description of: AIM-9 Sidewinder x2,A rack of two standard heat-seeking Sidewinder anti-air missiles.,Un support de deux missiles anti-aeriens Sidewinder a tete chercheuse standard.
interactable_button_grip,,Grip,Grip
interactable_button_trigger,,Trigger,Gachette
s_endMission_quickload,Label for quickload button in end-mission display 'Quick Load (x mins ago)',Quick Load,Charg Rapide
s_endMission_dumpedLog,Label for end-mission entry when flight log is saved to disk.,Dumped flight log,Journal de vol vide
vpdt_ContinueFlightText,[xxx] tags will be replaced by platform specific controls. Keep them.,"Continue Flight
(Press [menu] to return to this screen)","Continuer le Vol 
(Appuyez sur [menu] pour revenir a cet ecran)"
ripple_single,Label when a rapid-fire weapon is set to only fire one shot at a time.,SINGLE,UNIQUE
wmui_ripple,Option title for selecting a rocket/missile's ripple (rapid fire) rate.,RIPPLE,RUPTURE
wmui_rippleTooltip,Tooltip for button to cycle a weapon's ripple (rapid fire) rate.,Cycle Ripple Rates,Cycle Taux de Rupture
s_masterArmed,Master armed label in EQUIP MFD page,MASTER ARMED,MASTER ARMED
s_masterDisarmed,Master disarmed label in EQUIP MFD page,MASTER DISARMED,MASTER DISARMED
s_eq_armed,Armed label for single equip in EQUIP MFD page,ARMED,ARMED
s_eq_disarmed,Disarmed label for single equip in EQUIP MFD page,DISARMED,DISARMED
s_eq_jettison,Jettison label for single equip in EQUIP MFD page,JETTISON,EJECTER
s_eqMode_0,Equip MFD page mode label,CONFIG,CONFIG
s_eqMode_1,Equip MFD page mode label,ARMING,ARMEMENT
s_eqMode_2,Equip MFD page mode label,JETTISON,EJECTER
rwrMode_0,RWR mode,On,On
rwrMode_1,RWR mode,Silent,Silenc
rwrMode_2,RWR mode,Off,Off
F/A-26B_mfd_cam:B3,Label for an MFD button (short!).,PREV,PREC
F/A-26B_mfd_cam:B5,Label for an MFD button (short!).,NEXT,SUIV
F/A-26B_mfd_home:B1,Label for an MFD button (short!).,NAV,NAV
F/A-26B_mfd_home:B1_tooltip,Tooltip for an MFD button.,Navigation,Navigation
F/A-26B_mfd_home:B2,Label for an MFD button (short!).,OBJ,OBJ
F/A-26B_mfd_home:B2_tooltip,Tooltip for an MFD button.,Objectives,Objectifs
F/A-26B_mfd_home:B3,Label for an MFD button (short!).,CAM,CAM
F/A-26B_mfd_home:B3_tooltip,Tooltip for an MFD button.,External Cameras,Cameras Externes
F/A-26B_mfd_home:B4,Label for an MFD button (short!).,TGP,TGP
